Id,QuaternaryFaultDensity,HorizGravityGradient,GeodeticStrainRate,QuaternarySlipRate,FaultRecency,FaultSlipDilationTendency,Earthquakes,HorizMagneticGradient,Heatflow,DEM-30m,Longitude,Latitude,NAME,MAX_Temp_C,Blind_Status,NET_POWER_Mwe,Depth_m,TrainCode
39,0.925212385,1.521109911,1.54704795,1.703414473,1.304768075,0.749288492,1.081068468,-0.12616674,-0.966691255,-0.993495038,-119.4120001,38.89791486,Hind's-Nevada Hot Springs,80,no,0,,1
23,1.195944333,3.224229742,1.213635058,0.015331974,0.979826842,0.862137994,1.620053319,0.677589616,0.034506638,-1.439699952,-118.1958724,38.9189643,Rawhide-Wedell Hot Spring,151,no,0,,1
15,-1.360528183,0.89295524,-0.509615895,1.16935477,-0.042402781,-1.344845215,-0.206033971,-0.012816485,-0.309924558,-0.374482442,-117.0596919,38.95210885,Duckwater Area,45,no,0,,1
72,0.750554605,-0.131921938,-0.747091027,-0.588822279,-0.461574792,-0.237733962,0.345153461,-0.12616674,-1.674038298,-0.273892895,-115.7008513,38.94939894,Williams Hot Springs,123,no,0,,1
10,-0.489102047,-1.289532268,-0.393024785,-1.595820393,-0.841451697,0.400187317,0.475534814,0.430279968,-0.8928836,0.293535318,-115.2334924,38.95001787,Big Blue,155,no,0,,1
12,-0.758414215,2.32816858,1.218281748,0.584405446,0.107538192,0.738234642,1.568962629,0.832158146,0.842694706,-0.903222368,-117.9397877,38.96185725,Ambassador Well,110,yes,0,,1
49,0.448725682,1.691344835,1.009807818,-0.0638919,-0.49554339,0.772593459,-0.071265956,1.450432266,-1.33470403,-1.07860927,-119.3622421,38.96200158,Gene Sawyer well,84,yes,0,,1
0,-0.560527293,1.877312524,-0.319881929,1.557851941,0.118046425,-0.085193622,-0.580014519,1.069163225,-0.054726168,-0.374482442,-117.1377353,39.02638663,McLeod Hot Spring,134,no,0,,1
75,2.173405283,-0.156644852,-0.141913988,-0.728852841,0.196515339,0.50835912,-0.711823278,-0.878400252,-0.892474356,0.559194891,-116.6552469,39.05975072,Diana's Punch Bowl-Potts Ranch,74,no,0,,1
22,0.098539462,0.329465438,1.542364592,-0.948490243,-1.324444964,-0.027474151,0.716957911,0.110838339,-0.682839471,-1.310738994,-119.1807738,39.15924833,Wabuska,146,no,2.4,,1
30,-1.216913573,1.636440701,1.260158234,-0.095779881,0.264404111,-1.830769102,0.546905115,1.72865562,1.466387063,-1.522234964,-118.7248709,39.20968939,Lee-Allen Hot Springs,171,no,0,,1
70,0.862158351,-0.548165914,-0.436451257,-0.344605617,0.241669846,0.721987989,0.250526887,-0.641395173,-1.521317245,0.071722471,-116.0368236,39.2770484,Fish Creek Springs,45,no,0,,1
38,0.440743079,0.343207526,1.582571109,-0.113117882,1.989321268,0.10489361,1.199055759,0.883680989,2.237640431,-1.537710279,-118.5705253,39.29972317,Salt Wells,188,no,28,,1
26,-0.753571889,0.465923083,0.68550697,-0.413215531,1.420740935,0.436912828,0.573677681,0.832158146,0.072704379,0.082039348,-117.5500881,39.31352326,Peterson,150,no,0,,1
69,-1.338340107,0.449676596,-0.344619262,-0.025483391,0.178090219,0.389203077,-0.011941744,0.275711438,0.161936499,-0.22746695,-116.8569712,39.32825133,Spencer Hot Springs,95,no,0,,1
50,-0.548853118,0.988957206,-0.393024785,-1.124141517,-0.981151731,-0.436522272,0.413146728,0.02840179,-0.090388335,0.303852195,-116.3486599,39.4053603,Klobe Hot Spring,86,no,0,,1
81,2.564688552,2.425583284,1.632089339,0.760124182,1.297310963,0.983591122,1.306076046,0.842462715,0.969911463,-0.910960025,-118.2449825,39.41628995,Eleven Mile Canyon,82,yes,0,,1
74,2.446651845,1.074042561,1.237141514,-1.179145934,-0.928539869,-3.566682905,1.421539615,0.626066773,0.509792336,-1.388115569,-119.2007843,39.42915915,Silver Springs,149,yes,0,,1
45,0.780413897,-0.430908663,1.504917338,0.761518194,1.738297447,0.822655982,1.372903366,-0.775354566,-0.242575266,-1.669250456,-118.1564988,39.50955875,Pirouette Mount (Dixie Valley),87,yes,0,,1
54,0.175911705,-1.069723084,1.252824889,-0.542879722,2.062463915,-0.748703032,1.120356773,0.95581297,-0.905408731,-1.625403731,-118.5556856,39.54544635,Stillwater,178,yes,47.3,,1
